LLM / conversational AI,LMM / multimodal AI,Agentic / code generation,Document retrieval / RAG,Machine learning / optimization,Simulation / digital twin,Physical AI / robotics,VVUQ / assurance,Federated learning,MCP / API infrastructure,Clinical trials,PDAC / pancreatic cancer,Glioblastoma,Lung adenocarcinoma,mAb / bioprocess,Chemistry / spectroscopy,Regulatory / compliance,Patient safety / adverse events,Patient matching / decision support,Cost / efficiency,Legislation / policy,Drug compounds / discovery / synergy,publication_id
True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,P01
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,P02
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,P03
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,P04
True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,P05
True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,P06
True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P07
True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,P08
True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,P09
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,P10
True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,P11
False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,P12
False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,True,P13
False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,P14
False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,P15
False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,P16
True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,P17
True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,P18
True,False,True,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,P19
True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,P20
False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,P21
False,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,P22
False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False,P23
False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,P24
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,P25
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,P26
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,P27
False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,P28
False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,P29
False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,P30
False,False,True,False,False,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,P31
False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,P32
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,P33
True,False,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,P34
True,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,P35
False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,P36
True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,P37
False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,P38
False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,P39
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,P40
False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,P41
False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,P42
False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,P43
True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,P44
False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,P45
False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,P46
True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,P47
True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,P48
True,False,True,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,P49
True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,P50
True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,P51
True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,P52
True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,P53
